date,hour,location_id,location_name,zone,congestion_score,avg_speed_kmph,violations,accident_count,accident_severity,rain_flag,crowd_score,special_event,historical_risk,risk_score,risk_level
2025-01-01,8,J001,Variety Square,Sitabuldi,73.6,20.3,12,0,0,0,42.7,0,60.5,46.51,Yellow
2025-01-01,8,J002,Panchsheel Square,Sitabuldi,66.2,24.1,7,0,0,0,50.8,0,40.2,40.0,Yellow
2025-01-01,8,J003,Jhansi Rani Square,Sitabuldi,85.9,20.0,12,0,0,1,65.2,0,45.6,59.84,Orange
2025-01-01,8,J004,GPO Square,Sitabuldi,64.2,25.6,9,0,0,1,51.7,0,48.3,49.93,Yellow
2025-01-01,8,J005,Zero Mile,Sitabuldi,49.9,27.5,7,0,0,0,53.5,0,33.4,35.15,Yellow
2025-01-01,8,J006,Munje Square,Sitabuldi,76.3,21.7,8,0,0,0,67.2,0,27.1,46.33,Yellow
2025-01-01,9,J001,Variety Square,Sitabuldi,88.5,18.3,8,0,0,0,61.3,0,43.6,49.92,Yellow
2025-01-01,9,J002,Panchsheel Square,Sitabuldi,69.3,32.2,5,0,0,1,38.6,0,42.3,43.2,Yellow
2025-01-01,9,J003,Jhansi Rani Square,Sitabuldi,63.2,22.3,5,0,0,0,67.5,0,26.1,37.87,Yellow
2025-01-01,9,J004,GPO Square,Sitabuldi,73.0,21.4,6,0,0,0,59.0,0,59.2,42.72,Yellow
2025-01-01,9,J005,Zero Mile,Sitabuldi,83.7,19.2,8,0,0,0,48.2,0,43.4,46.52,Yellow
2025-01-01,9,J006,Munje Square,Sitabuldi,50.6,26.7,11,0,0,0,89.7,0,58.7,46.58,Yellow
2025-01-01,10,J001,Variety Square,Sitabuldi,36.3,42.2,3,0,0,0,32.1,0,54.1,22.89,Green
2025-01-01,10,J002,Panchsheel Square,Sitabuldi,43.4,36.7,3,0,0,0,51.5,0,34.1,26.93,Yellow
2025-01-01,10,J003,Jhansi Rani Square,Sitabuldi,34.7,35.6,5,0,0,0,15.5,0,39.1,22.2,Green
2025-01-01,10,J004,GPO Square,Sitabuldi,79.8,30.0,4,0,0,0,23.2,0,12.2,34.02,Yellow
2025-01-01,10,J005,Zero Mile,Sitabuldi,26.1,37.5,4,0,0,0,15.3,0,60.0,19.11,Green
2025-01-01,10,J006,Munje Square,Sitabuldi,24.4,38.7,2,0,0,0,42.8,0,33.5,18.43,Green
2025-01-01,13,J001,Variety Square,Sitabuldi,21.4,40.2,0,0,0,1,43.5,0,62.2,23.04,Green
2025-01-01,13,J002,Panchsheel Square,Sitabuldi,47.3,33.1,2,0,0,0,72.7,0,68.9,31.53,Yellow
2025-01-01,13,J003,Jhansi Rani Square,Sitabuldi,30.6,33.8,1,0,0,1,51.7,0,43.5,27.59,Yellow
2025-01-01,13,J004,GPO Square,Sitabuldi,34.9,37.9,3,0,0,0,0.0,0,35.2,16.74,Green
2025-01-01,13,J005,Zero Mile,Sitabuldi,46.4,31.7,3,0,0,0,33.9,0,25.4,24.78,Green
2025-01-01,13,J006,Munje Square,Sitabuldi,61.5,30.7,6,0,0,0,52.8,0,23.9,36.57,Yellow
2025-01-01,17,J001,Variety Square,Sitabuldi,66.1,31.5,7,0,0,0,41.8,0,50.4,39.12,Yellow
2025-01-01,17,J002,Panchsheel Square,Sitabuldi,58.9,30.4,10,0,0,0,75.2,0,43.1,46.12,Yellow
2025-01-01,17,J003,Jhansi Rani Square,Sitabuldi,85.0,21.7,8,0,0,0,45.2,0,40.4,46.31,Yellow
2025-01-01,17,J004,GPO Square,Sitabuldi,69.2,31.2,8,0,0,0,37.5,0,18.8,39.31,Yellow
2025-01-01,17,J005,Zero Mile,Sitabuldi,75.6,25.9,10,0,0,1,47.3,0,35.8,53.57,Orange
2025-01-01,17,J006,Munje Square,Sitabuldi,81.3,20.4,2,0,0,0,36.7,0,20.2,33.9,Yellow
2025-01-01,18,J001,Variety Square,Sitabuldi,58.8,32.2,6,0,0,0,61.7,0,40.0,37.89,Yellow
2025-01-01,18,J002,Panchsheel Square,Sitabuldi,46.8,29.5,6,0,0,0,76.7,0,42.7,36.68,Yellow
2025-01-01,18,J003,Jhansi Rani Square,Sitabuldi,53.0,28.4,10,0,0,0,95.1,0,62.9,48.3,Yellow
2025-01-01,18,J004,GPO Square,Sitabuldi,71.4,29.5,8,0,0,0,79.9,0,26.5,46.73,Yellow
2025-01-01,18,J005,Zero Mile,Sitabuldi,62.9,26.7,14,0,0,0,71.0,0,46.0,46.82,Yellow
2025-01-01,18,J006,Munje Square,Sitabuldi,74.5,23.0,4,0,0,0,84.5,0,48.7,43.47,Yellow
2025-01-01,19,J001,Variety Square,Sitabuldi,46.5,21.3,8,0,0,0,72.0,0,41.7,38.83,Yellow
2025-01-01,19,J002,Panchsheel Square,Sitabuldi,93.4,14.2,9,0,0,0,68.1,0,31.2,53.31,Orange
2025-01-01,19,J003,Jhansi Rani Square,Sitabuldi,60.9,33.1,8,0,0,0,71.9,0,42.6,43.2,Yellow
2025-01-01,19,J004,GPO Square,Sitabuldi,73.4,32.6,11,0,0,0,57.1,0,30.2,47.11,Yellow
2025-01-01,19,J005,Zero Mile,Sitabuldi,71.8,19.2,6,0,0,0,16.6,0,24.1,34.25,Yellow
2025-01-01,19,J006,Munje Square,Sitabuldi,52.9,33.9,11,0,0,0,74.6,0,40.9,44.11,Yellow
2025-01-01,20,J001,Variety Square,Sitabuldi,49.7,29.8,4,0,0,0,44.7,0,37.6,29.5,Yellow
2025-01-01,20,J002,Panchsheel Square,Sitabuldi,20.6,43.2,3,0,0,0,27.1,0,50.4,17.27,Green
2025-01-01,20,J003,Jhansi Rani Square,Sitabuldi,32.7,39.4,4,0,0,0,27.7,0,14.8,20.71,Green
2025-01-01,20,J004,GPO Square,Sitabuldi,37.7,35.2,1,0,0,0,47.6,0,62.6,23.08,Green
2025-01-01,20,J005,Zero Mile,Sitabuldi,36.9,35.6,6,0,0,0,15.1,1,45.0,29.85,Yellow
